method,scenario,seed,station_id,cdd_obs,cdd_pred,cdd_abs_error,mean_dry_obs,mean_dry_pred,mean_dry_abs_error,p95_dry_obs,p95_dry_pred,p95_dry_abs_error,n_dry_spells_obs,n_dry_spells_pred
AmountRF_DLPIF,block30d,456,17155,45.0,45.0,0.0,5.758064516129032,6.0,0.24193548387096797,18.0,18.299999999999983,0.29999999999998295,124,118
AmountRF_DLPIF,block30d,456,17704,44.0,44.0,0.0,5.392307692307693,5.729508196721311,0.3372005044136186,18.0,18.0,0.0,130,122
AmountRF_DLPIF,block30d,456,17748,44.0,44.0,0.0,5.906779661016949,5.598360655737705,0.3084190052792444,18.299999999999983,19.899999999999977,1.5999999999999943,118,122
AmountRF_DLPIF,block30d,456,17750,48.0,48.0,0.0,5.582677165354331,5.5390625,0.04361466535433056,18.0,19.299999999999983,1.299999999999983,127,128
DirectTwoStageRF,10pct,42,17155,45.0,45.0,0.0,5.758064516129032,5.672,0.08606451612903232,18.0,18.0,0.0,124,125
DirectTwoStageRF,10pct,42,17704,44.0,44.0,0.0,5.392307692307693,5.2556390977443606,0.13666859456333214,18.0,18.0,0.0,130,133
DirectTwoStageRF,10pct,42,17748,44.0,44.0,0.0,5.906779661016949,6.078947368421052,0.17216770740410325,18.299999999999983,21.399999999999977,3.0999999999999943,118,114
DirectTwoStageRF,10pct,42,17750,48.0,45.0,3.0,5.582677165354331,5.68,0.09732283464566915,18.0,18.0,0.0,127,125
DirectTwoStageRF,20pct,42,17155,45.0,45.0,0.0,5.758064516129032,5.829268292682927,0.07120377655389465,18.0,19.0,1.0,124,123
DirectTwoStageRF,20pct,42,17704,44.0,44.0,0.0,5.392307692307693,5.453846153846154,0.06153846153846132,18.0,18.099999999999994,0.09999999999999432,130,130
DirectTwoStageRF,20pct,42,17748,44.0,45.0,1.0,5.906779661016949,5.858333333333333,0.048446327683615564,18.299999999999983,24.099999999999994,5.800000000000011,118,120
DirectTwoStageRF,20pct,42,17750,48.0,48.0,0.0,5.582677165354331,5.860655737704918,0.2779785723505874,18.0,24.94999999999999,6.949999999999989,127,122
DirectTwoStageRF,block7d,42,17155,45.0,48.0,3.0,5.758064516129032,5.909090909090909,0.15102639296187714,18.0,18.0,0.0,124,121
DirectTwoStageRF,block7d,42,17704,44.0,44.0,0.0,5.392307692307693,5.456692913385827,0.06438522107813416,18.0,18.0,0.0,130,127
DirectTwoStageRF,block7d,42,17748,44.0,44.0,0.0,5.906779661016949,5.680327868852459,0.22645179216448952,18.299999999999983,17.899999999999977,0.4000000000000057,118,122
DirectTwoStageRF,block7d,42,17750,48.0,64.0,16.0,5.582677165354331,6.170940170940171,0.5882630055858407,18.0,20.999999999999943,2.999999999999943,127,117
DirectTwoStageRF,block30d,42,17155,45.0,45.0,0.0,5.758064516129032,5.883333333333334,0.12526881720430172,18.0,18.099999999999994,0.09999999999999432,124,120
DirectTwoStageRF,block30d,42,17704,44.0,44.0,0.0,5.392307692307693,5.745901639344262,0.3535939470365692,18.0,18.0,0.0,130,122
DirectTwoStageRF,block30d,42,17748,44.0,44.0,0.0,5.906779661016949,5.590163934426229,0.3166157265907197,18.299999999999983,19.899999999999977,1.5999999999999943,118,122
DirectTwoStageRF,block30d,42,17750,48.0,54.0,6.0,5.582677165354331,5.642857142857143,0.060179977502812676,18.0,19.5,1.5,127,126
DirectTwoStageRF,netblock30d,42,17155,45.0,50.0,5.0,5.758064516129032,7.12037037037037,1.3623058542413382,18.0,30.0,12.0,124,108
DirectTwoStageRF,netblock30d,42,17704,44.0,47.0,3.0,5.392307692307693,6.614035087719298,1.2217273954116052,18.0,32.44999999999996,14.44999999999996,130,114
DirectTwoStageRF,netblock30d,42,17748,44.0,55.0,11.0,5.906779661016949,7.25,1.343220338983051,18.299999999999983,37.099999999999966,18.799999999999983,118,104
DirectTwoStageRF,netblock30d,42,17750,48.0,94.0,46.0,5.582677165354331,6.591304347826087,1.0086271824717565,18.0,30.0,12.0,127,115
DirectTwoStageRF,10pct,123,17155,45.0,45.0,0.0,5.758064516129032,5.685483870967742,0.07258064516129004,18.0,18.0,0.0,124,124
DirectTwoStageRF,10pct,123,17704,44.0,44.0,0.0,5.392307692307693,5.2481203007518795,0.14418739155581317,18.0,18.0,0.0,130,133
DirectTwoStageRF,10pct,123,17748,44.0,44.0,0.0,5.906779661016949,6.043859649122807,0.13707998810585842,18.299999999999983,21.399999999999977,3.0999999999999943,118,114
DirectTwoStageRF,10pct,123,17750,48.0,45.0,3.0,5.582677165354331,5.574803149606299,0.007874015748031482,18.0,17.69999999999999,0.30000000000001137,127,127
DirectTwoStageRF,20pct,123,17155,45.0,45.0,0.0,5.758064516129032,5.733870967741935,0.024193548387096975,18.0,19.0,1.0,124,124
DirectTwoStageRF,20pct,123,17704,44.0,44.0,0.0,5.392307692307693,5.3816793893129775,0.010628302994715177,18.0,18.0,0.0,130,131
DirectTwoStageRF,20pct,123,17748,44.0,45.0,1.0,5.906779661016949,5.825,0.08177966101694878,18.299999999999983,24.099999999999994,5.800000000000011,118,120
DirectTwoStageRF,20pct,123,17750,48.0,48.0,0.0,5.582677165354331,5.733870967741935,0.1511938023876045,18.0,24.849999999999994,6.849999999999994,127,124
