audit_category,check_name,method,scenario,seed,status,observed,expected,tolerance,source_file,message
completeness,no_unexpected_groups,WGANGP_raw,,,PASS,12,12,,,no unexpected groups
completeness,no_duplicate_rows,WGANGP_raw,10pct,42,PASS,0,0,,,no duplicate row_index within group
integrity,prediction_mask_length_match,WGANGP_raw,10pct,42,PASS,416,416,,,row count matches fresh art_mask.sum()
integrity,no_nan_inf_evaluated,WGANGP_raw,10pct,42,PASS,0,0,,,all evaluated cells finite
integrity,row_index_matches_fresh_mask,WGANGP_raw,10pct,42,PASS,True,True,,,every row_index is a true art_mask position
completeness,no_duplicate_rows,WGANGP_raw,10pct,123,PASS,0,0,,,no duplicate row_index within group
integrity,prediction_mask_length_match,WGANGP_raw,10pct,123,PASS,416,416,,,row count matches fresh art_mask.sum()
integrity,no_nan_inf_evaluated,WGANGP_raw,10pct,123,PASS,0,0,,,all evaluated cells finite
integrity,row_index_matches_fresh_mask,WGANGP_raw,10pct,123,PASS,True,True,,,every row_index is a true art_mask position
completeness,no_duplicate_rows,WGANGP_raw,10pct,456,PASS,0,0,,,no duplicate row_index within group
integrity,prediction_mask_length_match,WGANGP_raw,10pct,456,PASS,416,416,,,row count matches fresh art_mask.sum()
integrity,no_nan_inf_evaluated,WGANGP_raw,10pct,456,PASS,0,0,,,all evaluated cells finite
integrity,row_index_matches_fresh_mask,WGANGP_raw,10pct,456,PASS,True,True,,,every row_index is a true art_mask position
completeness,no_duplicate_rows,WGANGP_raw,20pct,42,PASS,0,0,,,no duplicate row_index within group
integrity,prediction_mask_length_match,WGANGP_raw,20pct,42,PASS,833,833,,,row count matches fresh art_mask.sum()
integrity,no_nan_inf_evaluated,WGANGP_raw,20pct,42,PASS,0,0,,,all evaluated cells finite
integrity,row_index_matches_fresh_mask,WGANGP_raw,20pct,42,PASS,True,True,,,every row_index is a true art_mask position
completeness,no_duplicate_rows,WGANGP_raw,20pct,123,PASS,0,0,,,no duplicate row_index within group
integrity,prediction_mask_length_match,WGANGP_raw,20pct,123,PASS,833,833,,,row count matches fresh art_mask.sum()
integrity,no_nan_inf_evaluated,WGANGP_raw,20pct,123,PASS,0,0,,,all evaluated cells finite
integrity,row_index_matches_fresh_mask,WGANGP_raw,20pct,123,PASS,True,True,,,every row_index is a true art_mask position
completeness,no_duplicate_rows,WGANGP_raw,20pct,456,PASS,0,0,,,no duplicate row_index within group
integrity,prediction_mask_length_match,WGANGP_raw,20pct,456,PASS,833,833,,,row count matches fresh art_mask.sum()
integrity,no_nan_inf_evaluated,WGANGP_raw,20pct,456,PASS,0,0,,,all evaluated cells finite
integrity,row_index_matches_fresh_mask,WGANGP_raw,20pct,456,PASS,True,True,,,every row_index is a true art_mask position
completeness,no_duplicate_rows,WGANGP_raw,block7d,42,PASS,0,0,,,no duplicate row_index within group
integrity,prediction_mask_length_match,WGANGP_raw,block7d,42,PASS,840,840,,,row count matches fresh art_mask.sum()
integrity,no_nan_inf_evaluated,WGANGP_raw,block7d,42,PASS,0,0,,,all evaluated cells finite
integrity,row_index_matches_fresh_mask,WGANGP_raw,block7d,42,PASS,True,True,,,every row_index is a true art_mask position
completeness,no_duplicate_rows,WGANGP_raw,block7d,123,PASS,0,0,,,no duplicate row_index within group
integrity,prediction_mask_length_match,WGANGP_raw,block7d,123,PASS,840,840,,,row count matches fresh art_mask.sum()
