method,scenario,seed,station_id,cdd_obs,cdd_pred,cdd_abs_error,mean_dry_obs,mean_dry_pred,mean_dry_abs_error,p95_dry_obs,p95_dry_pred,p95_dry_abs_error
DirectTwoStageRF,10pct,42,17704,44.0,44.0,0.0,5.392307692307693,5.2556390977443606,0.13666859456333214,18.0,18.0,0.0
DirectTwoStageRF,10pct,42,17748,44.0,44.0,0.0,5.906779661016949,6.078947368421052,0.17216770740410325,18.299999999999983,21.399999999999977,3.0999999999999943
DirectTwoStageRF,10pct,42,17750,48.0,45.0,3.0,5.582677165354331,5.68,0.09732283464566915,18.0,18.0,0.0
SAITS,10pct,42,17155,45.0,45.0,0.0,5.758064516129032,5.535433070866142,0.22263144526289036,18.0,18.0,0.0
SAITS,10pct,42,17704,44.0,44.0,0.0,5.392307692307693,5.142857142857143,0.24945054945054945,18.0,16.799999999999983,1.200000000000017
SAITS,10pct,42,17748,44.0,44.0,0.0,5.906779661016949,4.9772727272727275,0.9295069337442214,18.299999999999983,15.899999999999977,2.4000000000000057
SAITS,10pct,42,17750,48.0,45.0,3.0,5.582677165354331,5.044444444444444,0.5382327209098863,18.0,17.0,1.0
SingleStageRF,10pct,123,17155,45.0,35.0,10.0,5.758064516129032,4.877697841726619,0.8803666744024135,18.0,18.0,0.0
SingleStageRF,10pct,123,17704,44.0,44.0,0.0,5.392307692307693,4.828571428571428,0.5637362637362644,18.0,16.049999999999983,1.950000000000017
SingleStageRF,10pct,123,17748,44.0,44.0,0.0,5.906779661016949,5.346774193548387,0.560005467468562,18.299999999999983,16.849999999999994,1.4499999999999886
SingleStageRF,10pct,123,17750,48.0,43.0,5.0,5.582677165354331,4.927536231884058,0.6551409334702729,18.0,16.150000000000006,1.8499999999999943
DirectTwoStageRF,10pct,123,17155,45.0,45.0,0.0,5.758064516129032,5.685483870967742,0.07258064516129004,18.0,18.0,0.0
DirectTwoStageRF,10pct,123,17704,44.0,44.0,0.0,5.392307692307693,5.2481203007518795,0.14418739155581317,18.0,18.0,0.0
DirectTwoStageRF,10pct,123,17748,44.0,44.0,0.0,5.906779661016949,6.043859649122807,0.13707998810585842,18.299999999999983,21.399999999999977,3.0999999999999943
DirectTwoStageRF,10pct,123,17750,48.0,45.0,3.0,5.582677165354331,5.574803149606299,0.007874015748031482,18.0,17.69999999999999,0.30000000000001137
SAITS,10pct,123,17155,45.0,45.0,0.0,5.758064516129032,5.33587786259542,0.42218665353361207,18.0,18.0,0.0
SAITS,10pct,123,17704,44.0,44.0,0.0,5.392307692307693,5.4296875,0.03737980769230731,18.0,17.64999999999999,0.3500000000000085
SAITS,10pct,123,17748,44.0,44.0,0.0,5.906779661016949,5.553719008264463,0.353060652752486,18.299999999999983,17.0,1.299999999999983
SAITS,10pct,123,17750,48.0,45.0,3.0,5.582677165354331,5.723577235772358,0.1409000704180272,18.0,18.0,0.0
SingleStageRF,10pct,456,17155,45.0,35.0,10.0,5.758064516129032,4.884892086330935,0.873172429798097,18.0,18.0,0.0
SingleStageRF,10pct,456,17704,44.0,44.0,0.0,5.392307692307693,4.787234042553192,0.6050736497545008,18.0,16.0,2.0
SingleStageRF,10pct,456,17748,44.0,44.0,0.0,5.906779661016949,5.354838709677419,0.5519409513395299,18.299999999999983,16.0,2.299999999999983
SingleStageRF,10pct,456,17750,48.0,43.0,5.0,5.582677165354331,4.985401459854015,0.5972757055003157,18.0,16.19999999999999,1.8000000000000114
