method,scenario,thresh_mm,n_masked,freq_gt,freq_pred,bias,precision,recall,f1,dry_accuracy,csi,tp,fp,fn,tn
WGAN-GP_seed42+PrecipFix,block30d,0.1,2020,0.3104,0.3188,0.0084,0.3463,0.3557,0.3509,0.6978,0.2128,223,421,404,972
WGAN-GP_seed456,block30d,0.1,2020,0.3104,1.0,0.6896,0.3104,1.0,0.4737,0.0,0.3104,627,1393,0,0
WGAN-GP_seed456+Precip2Stage,block30d,0.1,2020,0.3104,0.3153,0.005,0.9466,0.9617,0.9541,0.9756,0.9123,603,34,24,1359
WGAN-GP_seed456+PrecipFix,block30d,0.1,2020,0.3104,0.3322,0.0218,0.3562,0.3812,0.3683,0.6899,0.2257,239,432,388,961
WGAN-GP_seq30_seed42,block30d,0.1,2020,0.3104,1.0,0.6896,0.3104,1.0,0.4737,0.0,0.3104,627,1393,0,0
WGAN-GP_seq30_seed42+Precip2Stage,block30d,0.1,2020,0.3104,0.3163,0.0059,0.9452,0.9633,0.9542,0.9749,0.9124,604,35,23,1358
WGAN-GP_seq30_seed42+PrecipFix,block30d,0.1,2020,0.3104,0.3188,0.0084,0.3463,0.3557,0.3509,0.6978,0.2128,223,421,404,972
WGAN-GP_seq90_seed42,block30d,0.1,2020,0.3104,1.0,0.6896,0.3104,1.0,0.4737,0.0,0.3104,627,1393,0,0
WGAN-GP_seq90_seed42+Precip2Stage,block30d,0.1,2020,0.3104,0.3163,0.0059,0.9452,0.9633,0.9542,0.9749,0.9124,604,35,23,1358
WGAN-GP_seq90_seed42+PrecipFix,block30d,0.1,2020,0.3104,1.0,0.6896,0.3104,1.0,0.4737,0.0,0.3104,627,1393,0,0
mean,block30d,0.1,2020,0.3104,1.0,0.6896,0.3104,1.0,0.4737,0.0,0.3104,627,1393,0,0
linear,block30d,0.1,2020,0.3104,0.3589,0.0485,0.4428,0.512,0.4749,0.71,0.3113,321,404,306,989
knn,block30d,0.1,2020,0.3104,0.9921,0.6817,0.3124,0.9984,0.4759,0.0108,0.3122,626,1378,1,15
mice,block30d,0.1,2020,0.3104,0.996,0.6856,0.3116,1.0,0.4752,0.0057,0.3116,627,1385,0,8
